,World,Brazil,Canada,China,India,United States,Norway,Switzerland,France,Denmark,Spain,Italy,Germany,Poland,United Kingdom,South Africa,Australia,Russia
Climate change,19.349403720822966,14.686747313291653,14.004976229092906,22.090272054350777,29.05616193895388,17.245331206067114,11.942217005924693,12.326373687612634,12.640934684936555,14.853308597708324,15.291676966998166,15.990195544271456,17.783292324151567,23.172994349200273,15.208234335855586,24.712717398640212,22.315462999149542,19.770336250567393
Acidification,0.45972391255451095,0.3625498278892548,0.3344439575578863,0.5560826685808882,0.6415981256892787,0.36973791098893766,0.2985651990961505,0.30497667824787006,0.3137944718362743,0.34249718496897924,0.42287699412225016,0.37524543434073726,0.3502400932904841,0.6393516249474402,0.34058860246933403,1.011379422405655,0.49616336668698985,0.4592267161471165
"Eutrophication, freshwater",8.855547440719011,6.398016934290207,7.926909745730964,7.747279712601554,12.567299626708511,9.204636170227323,6.258671495507356,6.381031207753746,6.357418846197295,7.849422592590679,7.143050124334088,6.894544380207948,12.190505416128936,16.363584682441143,6.599754286304421,12.697128630516122,18.3581615526034,9.477443090943549
"Eutrophication, marine",4.797938522174143,3.932368647444216,3.7830741565288513,5.841383453861283,6.41045642371015,4.042748935944638,3.476417889609904,3.5355087618861707,3.6571084161604563,3.927508469817192,4.32066936195642,3.9770027393193685,4.182831245239762,5.546955144823327,3.9032561094135505,7.610968400803845,5.451710811252759,4.550356796301073
"Eutrophication, terrestrial",0.1405096538576106,0.10857245805878864,0.09912212512541223,0.18623104472445248,0.2068744301788033,0.10794811588961228,0.09051863265836958,0.09271831627112921,0.09516882042136247,0.10934461544701064,0.12342016685640914,0.11140599205031575,0.1091542724233021,0.1577035590452599,0.10842005947638694,0.2550101702766885,0.1488384054293446,0.12797220580801832
Photochemical ozone formation,0.5735991640367022,0.4302308252873781,0.4081696121678266,0.7438283461179416,0.8243300389394336,0.44969906849495034,0.37025449402257815,0.3771660282785691,0.3897896327908887,0.4336949697533939,0.5038772073294863,0.4593911119941555,0.44097854796246483,0.6545837366020949,0.43647744655548626,1.025288609783204,0.6002198268672827,0.5499410368383625
Particulate matter formation,6.25150407680491,5.828022668390528,4.3375544151916605,10.436681423045501,5.7444763265919105,4.7730651017892844,4.17045730314998,4.241930159064623,4.456658196232953,4.5897169904250665,4.674792543738529,4.645648705870448,4.492169430812466,5.006231049801949,4.489763379976602,5.516661913827272,4.612088692105132,4.809526857093119
Ozone depletion,0.014591024889079388,0.013844158939000775,0.012927806263933512,0.012199165408275685,0.012904063889176046,0.015176021756162445,0.011591994508784662,0.011947346248497349,0.012628728031697125,0.012454500575376079,0.014091996496344787,0.018088616000508474,0.01325356458341809,0.01322279007759487,0.014231281685039019,0.012480632667406344,0.013085381167759723,0.01916625086363107
"Ecotoxicity, freshwater",4.6213962989065225,3.9815850903892662,4.0035536125820945,4.835613962698709,4.776600461631533,4.92976488076226,3.8607985538189324,3.889986228790074,3.9127787194899395,4.0830709048104685,4.057771367295613,4.056469534855699,4.401454826078272,4.8502946609451625,3.9609931411634074,4.105295309019352,4.833881023413529,4.270248524037681
"Human toxicity, carcinogenic",0.040354003038637086,0.03635756039957013,0.03561381314842958,0.04273168039335005,0.04934540030973928,0.0390270979529024,0.03475478405354023,0.034723247657927975,0.0354090072866174,0.037965689873899124,0.03854333371391235,0.037458453287033455,0.03868545916706731,0.049009105704761045,0.0368125960787715,0.05161153965990213,0.041726807034716415,0.03793449178618581
"Human toxicity, non-carcinogenic",0.4481111482123527,0.4019292929163686,0.3993712041174528,0.49011175322829087,0.5913577482998719,0.4179963226636259,0.3908587486844862,0.39467586956612544,0.3973663429507958,0.4191251382136135,0.42670311888979245,0.40975922470641096,0.4313331070221899,0.5568664603447246,0.4097835265887394,0.6369429863586742,0.47990466743701965,0.4261433608454326
Ionising radiation,0.022488691083334556,0.016439513740699383,0.033332217291193664,0.01569940014572514,0.016986911918211577,0.028629559095466925,0.015696453954115546,0.029979493872606847,0.0562904362151908,0.019761955749578054,0.0321751609890377,0.018298819286741427,0.02160663910255673,0.016580542102430713,0.03662621248275191,0.01759091734642637,0.014524091767869183,0.03109795770922353
"Resource use, fossils",5.010976030830209,3.668969969655324,4.094746130224619,5.040245251738977,6.852702705402305,4.848404977544966,3.156150594070439,3.7783079677038773,5.503755647948702,3.9058019940311333,4.630570279963443,4.250958287626894,4.553388012118166,5.445471449285082,4.767995591075702,6.175597228336935,5.111531067776214,5.805879260499567
"Resource use, mineral and metals",17.980622181146334,17.922117823552547,17.75095860206382,17.961976903059075,18.016203234650455,17.954946921908814,17.8913736540629,17.97239417328181,17.97618597013023,18.078989635831082,18.007155473376226,18.04816817738651,18.21863667348841,17.964808413684523,18.023137158673894,17.96696471716589,18.019097014346958,17.992021249189424
"Land use, soil erosion",0.26548516066636246,0.6598054481400382,0.22915679609406492,0.22947298638786295,0.3780279670259324,0.2448448262967128,0.2184113989051968,0.2186427715788184,0.22046712725626894,0.23554237570038714,0.23219308363082408,0.22326724311716978,0.2481681575407372,0.2877568506827167,0.22191649142431075,0.36016746602647765,0.27272838669178157,0.2433371108475773
Freshwater use,0.2576272773887445,0.2317205464009293,0.27062600940632914,0.2673763217076571,0.2882797724805212,0.2522770774314784,0.22511424585360382,0.23345637122405793,0.25370280604089873,0.2347622939005906,0.24380179933717577,0.23869306383724148,0.25531769319009395,0.267789684047096,0.246198705830917,0.24734596110072593,0.2688227540929609,0.26208138673644954
