,World,Brazil,Canada,China,India,United States,Norway,Switzerland,France,Denmark,Spain,Italy,Germany,Poland,United Kingdom,South Africa,Australia,Russia
Climate change,54.95445139040097,43.40995000349827,41.721919289272854,61.740702724244386,78.9878936802504,49.74487428526879,36.614631806004674,37.565784315715696,38.34462143169155,43.82234731761988,44.907725223308475,46.63722188317203,51.07683879891317,64.42146835252125,44.70112548989166,68.23374472958967,62.29826411162976,55.99665903787363
Acidification,1.341900670805687,1.1013025531057952,1.0317138400189667,1.5804800759937705,1.7922120216480804,1.1190998832154517,0.9428798491485136,0.9587543471751857,0.980586758015689,1.0516532236887224,1.2506695648049926,1.1327362324252137,1.0708242729811657,1.7866497994615893,1.046927669967493,2.7077718053968036,1.4321229157785569,1.340669637635158
"Eutrophication, freshwater",25.67729975664283,19.592578546732557,23.378039802491276,22.93328492776009,34.86741039440202,26.541625790269368,19.24756628968484,19.550522747134174,19.49205973444738,23.186185531322742,21.437243034703307,20.82195538393131,33.934486990728374,44.266820141591204,20.09207002461301,35.18886043991032,49.20529156820214,27.217081925076336
"Eutrophication, marine",15.544466918176932,13.40135969648289,13.031714089675434,18.127983781720125,19.53697966619533,13.674655706746979,12.272448686284449,12.418754696683358,12.719829289042698,13.389326142589807,14.362772621853052,13.511871450003744,14.021492417974907,17.398994183478955,13.32927852513747,22.5093865886027,17.163174031897793,14.931467089596916
"Eutrophication, terrestrial",0.4098147891309149,0.33073990799663155,0.3073413617394974,0.5230186398982766,0.574130617955098,0.329194068372715,0.2860395496357453,0.2914858549808634,0.29755317928790376,0.33265173063005904,0.36750208384967825,0.33775559481645245,0.33218045093262016,0.4523860285414863,0.33036257681932707,0.6933122752915403,0.4304363566694599,0.3787727020100103
Photochemical ozone formation,1.6742065823804804,1.3192338284505563,1.2646113808273562,2.0956854253914576,2.295003544315119,1.3674362137458054,1.170735466398965,1.1878480755679266,1.2191034817228714,1.327810874908929,1.5015785446879668,1.3914332231506494,1.3458446460839355,1.8747202870516309,1.3347001467071193,2.792566799401047,1.7401179967735627,1.6156302562216642
Particulate matter formation,17.732067454803936,16.68354891015318,12.993224916808224,28.094354838453917,16.476692394494698,14.071527344628812,12.579500920794644,12.756464096280007,13.28811985339668,13.617566696489668,13.828209462603903,13.756050794396755,13.376043873729666,14.648834436423542,13.370086613585691,15.912635433439796,13.67295789810072,14.16180480636318
Ozone depletion,0.034616458683003615,0.032767256372071556,0.03049841350640527,0.028694335609411432,0.030439628587527832,0.03606488132981907,0.02719101117902033,0.02807084410929134,0.029757910933258448,0.029326532565186213,0.033380889626680926,0.04327631733316371,0.03130497462557815,0.031228778505946554,0.033725752706906635,0.029391234303731327,0.03088856099690008,0.04594448673759722
"Ecotoxicity, freshwater",14.408387876761806,12.824247691788617,12.878640641391637,14.938779975023165,14.792665531848105,15.171892885084327,12.525186337755024,12.597453544404374,12.653886598323515,13.075521434242223,13.012881059238714,13.009657787971657,13.863823916530274,14.975128641232475,12.773263067262395,13.130547934746916,14.93448930507228,13.538963750291273
"Human toxicity, carcinogenic",0.12126441446580898,0.11136942464418706,0.10952794407566402,0.1271514232858827,0.1435266592178464,0.11797906457051349,0.10740103149537805,0.1073229489752598,0.10902085512390866,0.11535107186970503,0.11678128879510595,0.11409517974113095,0.1171331842269233,0.14269401078971528,0.11249606996698783,0.14913750560663244,0.12466340768872565,0.11527382698272925
"Human toxicity, non-carcinogenic",1.4847706798769378,1.3704267424527563,1.3640930440003012,1.5887620531099174,1.8394420149561683,1.410207895255318,1.343016634983718,1.3524676331819403,1.3591291091734339,1.4130027854854332,1.4317654822763235,1.3898132574544113,1.4432290986647232,1.754043330864947,1.3898734276867801,1.9523087582748297,1.5634898250608324,1.4303795496757374
Ionising radiation,0.0668523505457978,0.05187489347401699,0.09370037288132822,0.05004240966106974,0.053230223673334055,0.08205682909019188,0.050035115025643576,0.0853991993044508,0.15054376150917015,0.06010109181211335,0.09083556001474098,0.056478439945245235,0.06466843446438243,0.05222407256954224,0.10185613830734563,0.05472571054450992,0.04713240556969255,0.0881684591813045
"Resource use, fossils",14.30197106688048,10.979231950034881,12.033432183980462,14.374440176786633,18.861993141450235,13.899453362928606,9.709517119233247,11.249947301912037,15.522068469282685,11.56561606129571,13.360105671837735,12.420205583078792,13.169006281265338,15.377759741940297,13.700363789960155,17.18551423442671,14.550940251102377,16.27011124972667
"Resource use, mineral and metals",57.21861546847986,57.07376163860653,56.6499800651052,57.17245070304773,57.30671235667827,57.1550448242227,56.99764063020421,57.198243337078104,57.20763163424131,57.462168309751426,57.284310557574116,57.385855937823806,57.807927310371525,57.17946137998602,57.323880401867925,57.18480027845591,57.31387720898061,57.24683898407414
"Land use, soil erosion",0.841861207737893,1.8181782910869098,0.7519140148950891,0.752696885727978,1.120511502697081,0.7907567839729099,0.7253089550212602,0.7258818222659125,0.7303988344314031,0.7677243870167361,0.7594317094263905,0.7373317796244686,0.7989851839920429,0.8970047855029476,0.7339873865778211,1.0762898062723316,0.8597950688981939,0.7870237569806827
Freshwater use,0.6305727773559228,0.5664290220109796,0.6627569802188711,0.6547109178740877,0.7064668045020248,0.6173259529057253,0.5500721560647628,0.5707268364610365,0.6208559848176296,0.5739602349426189,0.5963415931028422,0.5836926224513732,0.6248543637032834,0.6557343821177736,0.6022762123237747,0.6051167583321758,0.6582922112896599,0.6416009267545659
