,Low technology user,Medium technology user,High technology user
World,108.69498767409978,229.42436443131348,307.1303129915592
Brazil,84.21426585414264,179.68368048071136,246.5172842150052
Canada,78.41624272531045,167.90307866008618,232.16167226523922
China,128.4752069691652,269.6144227178353,356.10513529193037
India,156.57572907134397,326.7099282879195,425.6806064363164
United States,96.34553257048782,204.33236152100594,276.55368689329947
Norway,67.78690686742914,146.30606695858214,205.84397441054912
Switzerland,69.83642060127168,150.4703320346339,210.9184667324511
France,71.39509845577716,153.6373016658211,214.777674247872
Denmark,83.60172771773262,178.43910664547258,245.00067077758766
Spain,85.67754585496797,182.65681781769638,250.140291471582
Italy,90.10294225391625,191.64847440752578,261.0973490782941
Germany,98.70649477576201,209.12943718599595,282.3993098759744
Poland,127.29060942305644,267.20752097025286,353.17213169677484
United Kingdom,84.77501063957371,180.8230189923921,247.90565993672317
South Africa,133.35168556249397,279.52260199306454,368.179049592965
Australia,121.84156935307819,256.1359936683132,339.68058414609527
Russia,111.66903921660105,235.46713388860516,314.49391414751005
