,End-user devices | operation,End-user devices | embodied,CPE | operation,CPE | embodied,Access network,Core network,Data centres | operation,Data centres | embodied
Carbon footprint,21.929345809281806,32.32535287989507,7.116610601426012,0.21869386755171513,2.8466441394840567,10.757096029753676,24.35363081069026,0.45262586191738624
Climate change,22.11607308221124,31.597314031772058,7.177208181565835,0.21697435791457112,2.870883170681186,10.88120690495666,24.69343697575928,0.4469032951391774
Acidification,19.365272858879326,40.92735012984181,6.284506037103852,0.392552604365837,2.513802325665767,9.240946195465652,20.634272949038678,0.6412968996390848
"Eutrophication, freshwater",16.267944381642142,44.87132030619616,5.2793469744711095,0.5323204682169157,2.1117387147877524,8.511357102109379,21.64112600316753,0.7848460494090349
"Eutrophication, marine",13.642112930271137,46.5218849873679,4.427200261697246,0.21075290713090242,1.7708800418236135,6.498608540580711,26.534825022361808,0.39373530876669943
"Eutrophication, terrestrial",19.40130658946199,41.107317274320145,6.296199866491951,0.33142550036455987,2.5184798572684874,9.141362537476898,20.607110168537094,0.5967982060788747
Photochemical ozone formation,19.252576878220335,41.90527888273168,6.24793342715275,0.3284077398285048,2.499173282322831,9.10897555568785,20.00663362654868,0.651020607507365
Particulate matter formation,19.01996718025389,41.89770858600096,6.17244587472741,0.28881449995493136,2.4689782626549412,8.918096203835052,20.61662162458336,0.6173677679894429
Ozone depletion,13.142268830734203,56.38909550465755,4.264988591181217,0.3323123226259513,1.7059953761991782,6.808533702481989,16.722777351013683,0.6340283211062245
"Ecotoxicity, freshwater",8.220717842196002,64.50058061761865,2.6678245788573007,0.7550580897613417,1.067129793786524,4.359573616469096,17.329842634787084,1.0992728265240055
"Human toxicity, carcinogenic",10.193144295443828,61.31867192773772,3.3079253432834634,0.6477731958121478,1.3231700926592813,5.166444885324163,16.709573166332838,1.3332970934065411
"Human toxicity, non-carcinogenic",6.769781985400709,75.54030305418226,2.1969603044967387,0.5637994179680462,0.8787840910397949,3.317513362910493,9.976264987498137,0.7565927965038123
Ionising radiation,20.788346974978786,23.593694728223998,6.746328493079507,0.1689438060093074,2.6985313011180128,12.455427202249794,33.23673324840748,0.3119942459331086
"Resource use, fossils",21.80396506827066,30.54617564074281,7.075921475599908,0.20975310238769995,2.8303684896160886,11.132356932725083,25.976631275820836,0.42482801483691945
"Resource use, mineral and metals",1.5412197408953285,91.62790849340932,0.5001636093326788,1.4490717813417562,0.20006543698846532,0.7993787598790438,1.9649258292808074,1.9172663488726114
"Land use, soil erosion",7.706506413091237,75.26697721660014,2.5009503600531584,0.8600575242112538,1.0003801085662223,3.4571541461435626,7.8382429087555225,1.3697313225789087
Freshwater use,8.241983384752915,60.106111293429315,2.67472576901361,0.2816576407619072,1.0698902698256663,4.2288945959045705,22.48046448776684,0.9162725585451741
