,End-user devices | operation,End-user devices | embodied,CPE | operation,CPE | embodied,Access network,Core network,Data centres | operation,Data centres | embodied
Carbon footprint,32.76736822278538,22.699718916190943,10.633814711152343,0.15357262581365944,4.253525732766608,12.072389372086649,17.10176455135269,0.31784586785171925
Climate change,33.89221479118593,21.32133962353293,10.998855013001362,0.14641067180719197,4.399541848300869,12.277356448108232,16.662718726758246,0.30156287730523873
Acidification,29.586493977560046,30.190249883808246,9.601542997626819,0.2895682515664041,3.840617062111887,10.797504927865534,15.220967263354812,0.47305563610624846
"Eutrophication, freshwater",27.827109757905742,32.53902377429474,9.030579663910622,0.3860191376731585,3.6122317367968266,10.342549494855646,15.693345074634182,0.5691413599290815
"Eutrophication, marine",23.297786021962647,36.469089131896524,7.560703015672277,0.16521184722094048,3.0242810984068043,8.373292695846374,20.8009821421155,0.3086540468789368
"Eutrophication, terrestrial",31.000247919457514,28.85805495844775,10.060340828535605,0.23266649196118558,4.024136187833559,10.939039457606706,14.466551388161975,0.4189627679957138
Photochemical ozone formation,30.235201797882457,30.126749094583367,9.81206459692003,0.23610050672183058,3.924825698782334,10.813755973161507,14.383267396477379,0.4680349354710964
Particulate matter formation,15.841289559818735,45.28595678070645,5.140887019661581,0.31217079415580395,2.0563547343886928,8.412168878538916,22.283878220657943,0.667294012071882
Ozone depletion,6.890686909624642,64.1910055496848,2.236196917961522,0.37829055343065715,0.8944787351743947,5.651074256904663,19.036515555678655,0.7217515215406392
"Ecotoxicity, freshwater",9.511551755363234,62.83889579882444,3.0867318453695174,0.7356060390503213,1.2346926941414424,4.638183238840315,16.883385623972945,1.0709530044377995
"Human toxicity, carcinogenic",17.639493622421213,51.83246452053653,5.724448344595577,0.5475604760138263,2.28977925603161,6.714677006385338,14.124545282355884,1.1270314916600102
"Human toxicity, non-carcinogenic",16.125465692211407,61.832387284087474,5.233109144946609,0.4614895963197128,2.0932435834751284,5.469084196343496,8.165922764609757,0.6192977380064196
Ionising radiation,9.027661882457254,30.98564478136869,2.929697712702526,0.2218742261997093,1.1718790432659068,11.60363384499878,43.64986586421697,0.4097426447901655
"Resource use, fossils",31.365506715482734,22.549172023967103,10.178876266966896,0.15483963832095657,4.071550361570529,12.190510566573792,19.175936592873068,0.31360783424491545
"Resource use, mineral and metals",1.6159210746394719,91.50737088648272,0.5244060242845344,1.4471655101230874,0.20976240240815391,0.8182889940412741,1.962340945906908,1.9147441621138617
"Land use, soil erosion",19.517618914007315,57.704908304383494,6.333946068598004,0.659380015066683,2.5335783370469507,6.191093829866563,6.009343075059292,1.0501314559717103
Freshwater use,13.745122904453785,53.50179025224266,4.46062952490542,0.2507097480557256,1.7842517462880365,5.431538344827102,20.010362838578327,0.8155946406489393
